transaction_id,transaction_status,merchant_id,merchant_name,order_total_amount,order_tax_amount,shipping_address,shipping_city,shipping_state,shipping_zip,payment_datetime,payment_method,payment_bank_account_number,payment_digital_wallet_account_number,payment_attempt,payment_status,customer_name,customer_email,customer_phone,customer_id
fafa4d43-c53a-466d-ba1a-e727821d1d08,Success,e09c9f95-373c-40c1-9054-e8b297c2113f,Paul PLC,52.42,5.24,Suite 875 3 Laura Corner,Amandabury,TAS,2923,2023-10-27 23:34:03,digital_wallet,,wallet_paul_plc_81a4917,1,Success,Brian Velez,geraldmiranda@example.com,03-3787-6584,bdc34497-97c6-4a7d-ac88-68372ed71bc5
a2685985-dfb5-452c-a383-474ec032493f,Success,cd9404fd-f18e-493c-8884-a87ef3d5ee5d,Walker Burgess and Hendricks,283.3,28.33,05 Smith Underpass,Swansonview,NSW,0989,2023-10-27 17:58:27,bank,225983,,3,Success,Christopher Griffin,clarkstephanie@example.org,08-2839-8146,8bbf8283-694b-4fbc-ba1a-09f0db1da2c6
f22af11b-1c67-40de-84a4-8c2767880f9b,Success,cbd6a615-e96c-42fd-8402-c7c65d2b29cc,SmithJohnson,38.36,3.84,27/162 Alicia Freeway,Port Jeffrey,QLD,2378,2023-10-27 18:47:36,bank,918361,,4,Success,Patricia Anderson,gloriakramer@example.com,(08)63600601,6deaecbf-779f-4e8d-abf5-cc50b74384fd
0170ac59-fd03-4b2d-a943-2f7cee992b23,Failed,7bd0566a-ad06-4423-a7f8-f4bc9b12b40d,Sanders Washington and Wheeler,389.35,38.94,90 Bradley Grange,Josephstad,WA,2692,2023-10-27 10:05:13,bank,770297,,1,Failed,Thomas Archer,jjones@example.com,+61354794552,b619bfd6-392c-4d62-8353-4862d4f4c0f7
ec71d61c-2a52-4eb2-97a8-a0b114e80a97,Success,288a22ea-a702-4535-8d4c-7af205f99931,Ford French and Villegas,327.03,32.7,8 Owens Esplanade,Cranefort,TAS,2676,2023-10-27 08:03:55,bank,288144,,3,Success,Christopher Hopkins,joshua61@example.org,+61.3.8907.0309,a9f3cbce-a66d-4c6a-8a88-41ae92c3505a
d48d7272-b4b0-45af-a9d9-7e0c1d8693db,Success,8721099c-7ac1-4c02-9be5-9d52c8581e9d,Nelson Group,220.55,22.06,634 Camacho Little,North Kayla,NSW,9599,2023-10-27 19:05:08,digital_wallet,,wallet_nelson_group_6232bb9,3,Success,Laura Harris,aaronwhitaker@example.net,08-5415-4071,dc38a942-6b4f-4241-8d12-bf1e5953cb02
a342aeda-ac84-4fec-9d02-76399877f1e9,Pending,15534ba4-16e2-4697-8119-2d60b9cbade8,ThomasGilbert,76.53,7.65,0 Huber Roadway,Marilynmouth,SA,2949,2023-10-26 09:44:26,digital_wallet,,wallet_thomasgilbert_2118c8a,4,Pending,Lori Copeland,jboyd@example.org,0427 125 469,6dafb244-fd23-4c7c-800b-6896761c7792
9c7a0815-53cd-48c5-82b3-8589c181f2f3,Success,1833e2a6-5916-479a-92b0-31eadf877fc3,StephensWalker,343.65,34.37,9 Robin Alley,West Erika,TAS,2942,2023-10-26 13:59:52,bank,950926,,1,Success,Savannah Ramos,daviddunlap@example.net,3681-9181,e38ab0e1-4ca1-406c-b160-c80c69894531
7ad0a55c-658a-4bb4-a690-9a100930863d,Success,f6ff802c-09d0-482e-8262-f14364c9f5c3,Tucker Stanley and Dominguez,102.03,10.2,9 Laura Motorway,East Bradleyborough,NT,2918,2023-10-27 00:57:58,digital_wallet,,wallet_tucker_stanley_and_dominguez_5663a71,5,Success,Victoria Bell,calebthomas@example.net,(03)-0579-3507,e5a44528-2369-4ec9-833f-8d604b76cac3
0ca04029-9484-4369-b489-4f0661072f98,Success,b9548481-d31c-4c29-a961-4818e4d9fef4,CameronWatson,125.58,12.56,Flat 87 78 Davis Anchorage,Lake Lauren,QLD,2679,2023-10-27 10:56:59,bank,823671,,2,Success,Crystal Flowers,david79@example.net,1458-5713,57e00cd8-e67c-48be-b6fa-5eb9fff9768a
