transaction_id,transaction_status,merchant_id,merchant_name,order_total_amount,order_tax_amount,shipping_address,shipping_city,shipping_state,shipping_zip,payment_datetime,payment_method,payment_bank_account_number,payment_digital_wallet_account_number,payment_attempt,payment_status,customer_name,customer_email,customer_phone,customer_id
9081c7bf-2a2e-4a7a-9827-9ab7c9748eb1,Success,33583c6e-7195-4103-8b0a-7599d25e7767,Wilcox Carter and Williams,153.09,15.31,Level 4 833 Frank Freeway,Reyesland,TAS,0825,2023-10-22 12:02:32,bank,862250,,2,Success,Courtney Clarke,zfischer@example.com,0444-461-177,173bfba3-62be-47bc-8587-d0394396dd3a
d9865b55-ee3c-43c7-bdb1-34b21f679319,Success,fdd534f7-127b-4d87-86d8-aaa70cf68b76,Kelley Ltd,288.4,28.84,9 Blake Driveway,North Sabrinaberg,SA,2079,2023-10-23 05:18:54,bank,193663,,5,Success,Lisa Allen,ronaldwall@example.net,+61.464.840.435,181fccbc-f4f6-4f47-b622-fd733ed454b1
14028658-df6c-4a48-b231-b2983a11d93b,Success,e0574e94-9b11-46a9-97cf-c3f8379c1296,Gonzalez LLC,203.4,20.34,Flat 25 05 Mitchell Byway,West Tiffany,TAS,0294,2023-10-23 11:03:10,bank,130270,,1,Success,Marissa Johnson,hernandezscott@example.org,+61.2.3532.7461,22f495a6-d02d-4f2c-9fc8-72e05e1fa48a
f72dbd40-fbf7-4532-9c75-a276afe731f2,Success,211992b5-34c9-4b85-adba-afa08440bd53,Roberson PLC,31.61,3.16,Level 3 750 Bennett Arcade,New Catherine,SA,2688,2023-10-22 14:28:10,digital_wallet,,wallet_roberson_plc_6b8ff72,2,Success,Eric Nelson,david86@example.com,+61-2-6032-3037,93c2fa99-762a-4a0b-9114-94432a5097bb
b5350073-9180-4bfb-ac6e-508d991bef13,Success,a17f2aab-3650-4755-b23a-821356e5a8fc,Willis Inc,251.15,25.12,0/773 Pierce Anchorage,Taylorborough,ACT,2925,2023-10-22 17:41:06,bank,986138,,2,Success,Cynthia Holland,jcurtis@example.net,+61-3-3475-9119,967675e2-abb7-41a2-8a02-e1533a2ddad9
01168d85-96ea-4502-b7ab-610ca18e88a9,Fraud,e163b6be-8b53-45d1-a63d-1ae98c9d06dd,Franklin PLC,260.8,26.08,1 Nicholas Corso,North Craig,ACT,3344,2023-10-23 11:02:59,bank,734874,,1,Fraud,James Walker,janet14@example.com,+61-467-291-205,8625e2da-9799-48f3-be00-d1bb64b8811e
f3742c2e-0d37-4411-ba42-d0261bb9e660,Pending,1833e2a6-5916-479a-92b0-31eadf877fc3,StephensWalker,467.05,46.71,96 Ramirez Court,South Whitney,VIC,2034,2023-10-22 13:31:06,digital_wallet,,wallet_stephenswalker_d8d0593,1,Pending,Eric Martin,ravenhendricks@example.org,+61.3.5935.4454,f4e1e20e-b1eb-4e71-b404-cc0e52d4129e
0569f7c9-36b2-40ba-ac02-52793214832e,Success,74552a41-5bdd-44e7-ab6a-d31c0210d935,MartinezDiaz,155.49,15.55,Suite 010 9 Duncan Highroad,Lake Amyview,NSW,5092,2023-10-23 10:09:01,bank,144944,,2,Success,Mark Glenn,angela05@example.com,(03) 4304 9076,9cd4e276-794d-4baf-8747-460d20b1fd29
8e56cac3-1b71-4b49-b853-014528522c0c,Success,7bd0566a-ad06-4423-a7f8-f4bc9b12b40d,Sanders Washington and Wheeler,94.15,9.42,988 Jackson Quadrangle,Vasquezton,QLD,2928,2023-10-22 12:51:02,bank,178335,,4,Success,Stephanie Kelly,stephanie94@example.com,8029 4026,5aa78cad-f39d-40a5-b69b-bf0bfbb3ea1e
92925a78-6769-4a7c-a26f-59f24f7b6565,Pending,1bce9184-c570-4f78-9524-8c8571579a01,Ingram Ltd,277.7,27.77,02 Martin Deviation,Ashleyville,ACT,2654,2023-10-23 09:32:54,bank,529571,,2,Pending,Kayla Kennedy,jpayne@example.net,0901 8564,4e049ccc-1a48-425b-ac41-73da76db8cee
6ac46eae-08ba-4aab-810c-b096d4c338e3,Success,9b6d1ae8-c651-496f-9eae-394263ef970c,WilsonMclean,288.66,28.87,9 Martin Extension,Mallorychester,QLD,2622,2023-10-22 04:04:21,bank,535650,,1,Success,Justin Taylor,zstafford@example.com,+61-3-8442-9568,eb24b71e-a477-40cc-9049-0932d837079c
26f5420e-39c4-44da-ac86-9372a3ed3185,Success,66a0fa97-9ec7-44df-b063-eb005c50d395,Nichols Inc,140.89,14.09,119 Lewis Grange,Davidton,ACT,0290,2023-10-22 17:01:46,bank,682531,,5,Success,Kevin Adams,matthewcraig@example.net,+61.453.875.147,f84cf2ed-bf1e-4272-8035-9f231f2eae97
e226f7ee-38ac-4292-809b-df0ac1f33998,Success,9b6d1ae8-c651-496f-9eae-394263ef970c,WilsonMclean,91.6,9.16,983 Blanchard Little,Amandatown,WA,0809,2023-10-23 02:52:54,bank,286436,,4,Success,Debra Jackson,rochajames@example.com,(07) 1792 2946,ae39b681-7c04-4b84-a32e-047de860d7f1
