transaction_id,transaction_status,merchant_id,merchant_name,order_total_amount,order_tax_amount,shipping_address,shipping_city,shipping_state,shipping_zip,payment_datetime,payment_method,payment_bank_account_number,payment_digital_wallet_account_number,payment_attempt,payment_status,customer_name,customer_email,customer_phone,customer_id
12ce8547-ecd5-4163-bc75-0d8ac01f6bb4,Success,5f43b821-1b8a-4c2a-a58f-60d6a867d2ae,Ellis Group,280.66,28.07,6 Emily Bend,Port Donna,SA,0897,2023-10-25 08:37:14,bank,862783,,2,Success,Daniel Taylor,elizabeth50@example.org,5800 8565,09ce0c09-f93c-4019-b181-852f6088abc6
15ab208d-d08b-4de7-9ee6-2db3e72031d5,Success,e0574e94-9b11-46a9-97cf-c3f8379c1296,Gonzalez LLC,406.05,40.61,32 Shane Right Of Way,Richardton,NSW,2922,2023-10-24 06:52:46,bank,277926,,1,Success,Kathy Schmidt,paulwilliams@example.org,+61 488 909 084,134c6d2d-39dc-4558-9cba-e02c52f11a3d
4223ca54-2984-4a4e-b7f4-c6431e71e562,Pending,0a0439a4-51fe-48a1-9667-200bd6aa45cc,Adams Group,69.32,6.93,Suite 771 9 Morrow Anchorage,New Terri,NSW,2944,2023-10-25 23:57:53,bank,131311,,1,Pending,Ashley Brown,rogersjeffrey@example.org,+61 7 7472 3139,5588ac22-503e-4728-90e6-91f53ee582ef
0a9545fa-e1f2-43d6-951b-8e46138f81ea,Fraud,cb203979-7376-4360-8d02-7d41a53a2d9e,Moran Inc,70.33,7.03,Flat 86 1 Stanley Close,Alvaradomouth,SA,2645,2023-10-24 19:33:14,digital_wallet,,wallet_moran_inc_4f7396c,1,Fraud,Michael Miller DDS,christopher95@example.net,(03)-6054-3640,8baf9bb2-bfd4-4563-8af9-e90ea6df4daf
69b12f5b-7220-4f55-b3aa-4055e68dea64,Pending,211992b5-34c9-4b85-adba-afa08440bd53,Roberson PLC,245.7,24.57,2/4 Schmitt State Highway,Jensenhaven,WA,3055,2023-10-25 04:44:17,digital_wallet,,wallet_roberson_plc_91f1a6e,2,Pending,Barry Brown,eric31@example.com,(02)21321878,4aa64fb8-bbd8-4dee-bb29-0b699b2d5bc4
ab5a127a-2d96-423f-b247-f9338ee2b868,Pending,1bce9184-c570-4f78-9524-8c8571579a01,Ingram Ltd,126.38,12.64,045 Gay Terrace,St. Victoria,SA,2625,2023-10-24 11:42:31,digital_wallet,,wallet_ingram_ltd_2d3d346,1,Pending,Renee Rowland,blee@example.net,5980-3128,99f3f87c-8bfa-441a-91fa-28b69b78e11a
97bab3b7-a9d2-40dc-9182-8faa5fda2a9f,Pending,75b334f7-6c28-4113-9990-fd1ec52ff627,Romero Stephens and Casey,132.02,13.2,Level 5 77 Bass Tor,Danielleview,NSW,7239,2023-10-25 08:37:08,bank,979115,,2,Pending,Julie Osborne,michaeljones@example.org,+61-7-5160-3021,93df1026-9000-4c53-972e-2a5636c92e10
cc2db7ae-0cd6-43dc-be56-710ff55d47ac,Success,ddb21852-dbfd-4291-96bf-f3aa437c25db,Rivers Hunt and Shaw,477.84,47.78,Unit 03 566 April Point,South Michelle,SA,2924,2023-10-24 05:13:11,digital_wallet,,wallet_rivers_hunt_and_shaw_610846f,2,Success,Ronald Hart,panderson@example.net,+61357242407,c7c47b6e-6ab7-4fde-8d72-f22bdf4efbfd
7cc65ae6-74ec-4f79-85a7-ed69ed0cb1f2,Success,8721099c-7ac1-4c02-9be5-9d52c8581e9d,Nelson Group,448.31,44.83,66/061 Susan Roads,Lake Vincentberg,SA,2948,2023-10-24 11:17:25,bank,430654,,1,Success,Amanda Romero,porterkristin@example.com,+61365883476,a6ad33df-8687-4782-9eea-7e20c220abc6
8ffd26b3-34e3-489b-bbd3-036f3e17d18a,Success,2ab804f4-832b-40a1-bca3-dd7f0123c9ae,MillerJohnson,472.86,47.29,Unit 43 703 Noble Cross,Allenshire,WA,2643,2023-10-24 23:09:23,bank,791128,,1,Success,Jeff Black,brandon00@example.net,(08) 5499 9398,3988fa03-fa39-4dec-b587-be5dcddd644f
67436bcf-491b-4ab7-a067-02b4dc983345,Success,dc9d03db-f117-41aa-b0b2-080c37f2ffd9,KruegerCobb,136.41,13.64,908 Hamilton Circlet,Lake Jacobborough,VIC,2649,2023-10-24 13:37:20,digital_wallet,,wallet_kruegercobb_d99321c,2,Success,Karla Shields,benjamingarcia@example.org,+61398070273,5980721d-d2f3-4520-9250-72ca9f1263bb
4873bed6-cf64-4fd0-841c-2949f140d39f,Success,695e7bed-47d4-44ed-8d96-18cc946ba013,Mcguire LLC,262.25,26.23,052 Giles Junction,Ryanbury,TAS,2636,2023-10-24 08:08:45,digital_wallet,,wallet_mcguire_llc_9f7980d,4,Success,Anthony Meyer,xnolan@example.net,+61.476.210.876,3aa46ddc-336c-473d-b383-160297c0e382
80c8d171-3df0-4526-a3fd-eaacd66e2b5d,Fraud,7489065f-c5ba-4822-8920-1c137e9fdc3c,Lopez Chandler and Ochoa,360.49,36.05,506 Beverly Corso,New Charlesland,TAS,2927,2023-10-24 22:57:15,digital_wallet,,wallet_lopez_chandler_and_ochoa_bb74b65,4,Fraud,Charles Kim,jprice@example.org,0487-122-264,2375780f-8aa9-496f-a4e6-5cf0a98b7351
565d9100-01ab-4568-bba2-0e80830cd117,Success,8721099c-7ac1-4c02-9be5-9d52c8581e9d,Nelson Group,216.08,21.61,0 Dunn Intersection,Currymouth,QLD,5931,2023-10-24 09:30:59,bank,641989,,1,Success,Amber Romero,xcarter@example.net,0400 953 945,db2889f0-4b83-4183-b40c-079ec96c0171
78e158f8-d45e-477b-b01a-135f24ccf692,Success,c7d5220c-3bb3-45ee-a78e-8cc2b15edf02,Smith Martin and Duncan,77.48,7.75,770 Michelle Quays,North Leahfort,TAS,2470,2023-10-25 15:20:11,digital_wallet,,wallet_smith_martin_and_duncan_efab673,5,Success,Carrie Simpson,nathaniel55@example.net,+61709855860,f8c58ee7-f3b0-4bb0-b9ff-fce51c3ce91e
ca5f3183-940d-4df0-9ccf-6a117b197b32,Failed,e163b6be-8b53-45d1-a63d-1ae98c9d06dd,Franklin PLC,324.16,32.42,191 Elizabeth Road,Robertview,ACT,6066,2023-10-24 02:21:42,bank,674816,,4,Failed,John Porter,monicagay@example.org,(03)-8977-1101,b8ceb9ed-308b-4bec-8d78-ec356167635d
864fb56b-d0f9-4631-97c9-b85cc2a9d9d1,Success,fa7d1727-e983-4406-8935-7ea97474ce4a,Smith Ltd,41.46,4.15,529/7 Wilson Intersection,Sanchezmouth,NSW,2200,2023-10-24 08:19:03,digital_wallet,,wallet_smith_ltd_d826820,3,Success,Laura Herman,levinedebra@example.org,+61-8-3194-2729,2b53a46f-c41c-474f-8b52-8b564caa8021
c0517a19-e7c0-472d-a270-9885025983da,Pending,a612a565-42bf-45ca-9dd0-309220043640,Doyle Hall and Contreras,418.41,41.84,Apt. 953 494 Jonathon Tarn,South Karen,SA,2697,2023-10-25 11:57:42,digital_wallet,,wallet_doyle_hall_and_contreras_e3011ef,4,Pending,Jessica Miranda,gwilliams@example.org,+61379823743,f93f0e6b-8c7b-43de-ac14-e13812d2c40d
